time,eggs,larvae,pupae,host.seeking.adults,resting.adults,ovipositn.adults,total.adults,temperature,rainfall
1,100,100,100,30,30,40,100,6.4314,41.0054
2,2327.6483221602716,294.53975984487647,82.89310642045722,18.31709354822321,48.819713006309506,41.13754918208808,108.27435573662079,28.848929772039003,82.79568972764127
3,3760.7563461530144,400.20127966103485,82.19431480058839,16.967882761370717,51.97755218868197,44.926227838227376,113.87166278828006,28.87891315701932,82.29032841460965
4,4759.6889238025215,455.2938527507431,86.61694370396339,17.61081245375264,53.672021623433515,47.96504497076274,119.24787904794889,28.908447507039128,81.81855742810967
5,5480.300655674826,490.2019922907128,92.50129569243518,18.630439076135975,55.90975297606959,50.53461505235856,125.07480710456413,28.93752407076539,81.38051655913284
6,6033.496887105452,514.7785310178779,98.41721690627746,19.706891499499918,58.678887662043614,53.04693879066016,131.4327179522037,28.96613423205443,80.97633561085269
7,6496.870672763406,534.083273961778,103.84701814984632,20.76778679581817,61.74553048657275,55.68007249386019,138.1933897762511,28.9942695129034,80.60613435347295
8,6918.404137636209,550.8203818121768,108.68348528470128,21.794897714638672,64.92940923238895,58.45874742184989,145.18305436887752,29.021921492555805,80.27002828268496
9,7323.791310182103,566.343003135907,112.98392347857872,22.784620222443433,68.1206166415559,61.342399622892756,152.24763648689208,29.049081740920656,79.96813311200935
10,7724.268936927305,581.2424719040253,116.8507350580562,23.737787625350688,71.25917565993754,64.27481492020831,159.27177820549656,29.075743022727693,79.70048219617013
11,8122.890097881953,595.7157214201701,120.38058627573142,24.65632795307969,74.31527773989463,67.2055520847978,166.17715777777212,29.101896623992786,79.46721058445462
12,8518.700765451023,609.7808059519106,123.64765836784713,25.542092992617707,77.2759395445215,70.09669890631511,172.91473144345434,29.12753556034943,79.26833625610323
13,8909.219075662937,623.3927069181225,126.70330204286266,26.396566640510784,80.1367676024342,72.92253619098315,179.45587043392814,29.15264913198041,79.1041208791662
14,9291.793535973562,636.5010170630638,129.5803261285218,27.22088294103336,82.89743747686256,75.66735460689814,185.78567502479405,29.177238202667354,78.97407173106569
15,9664.081211491448,649.0679924850391,132.30000495054796,28.016008591997622,85.55942337826448,78.32210634009282,191.89753831035492,29.20128622412983,78.8788298524953
16,10024.29009927459,661.0754688426789,134.87603132310863,28.782846296674112,88.12499681143899,80.88249522916155,197.79033833727465,29.224790164852436,78.81816188467815
17,10371.15432398533,672.5221254878293,137.3180734606764,29.522345025482064,90.59686650213501,83.34728348206878,203.46649500968584,29.24774257821855,78.79211564326329
18,10703.86507936056,683.4196853095118,139.63393739936419,30.235564153593952,92.97809262232784,85.71722190990582,208.93087868582762,29.27013652481986,78.80069846894162
19,11021.94932461279,693.7878194199179,141.8309705119867,30.923698413487784,95.27209430552925,87.99424640276985,214.19003912178687,29.291965572658853,78.84390363971738
20,11325.207206529625,703.6516147085161,143.91640009365193,31.58807941267125,97.48269311383464,90.18124131123315,219.25201383773904,29.313223212563685,78.92172006367605
21,11613.64922865242,713.039399991901,145.8976116795235,32.23016890072629,99.61412185253103,92.28179244791849,224.12608320117582,29.33390310829668,79.03412543349418
22,11887.448966819893,721.9813085237006,147.78222538742554,32.85154331185139,101.67100669054608,94.30002823268585,228.8225782350833,29.35399914128334,79.18108608268881
23,12146.9112011847,730.5076944322888,149.57804750639133,33.45387514296816,103.65833406504495,96.24053248107928,233.3527416890924,29.373505364156017,79.36255828969001
24,12392.450139080644,738.6499665211842,151.2929702877717,34.038913629843655,105.58140503632873,98.1082819046333,237.72860057080567,29.392415993925624,79.5784884142954
25,12624.571781399247,746.4385066592412,152.93490202529156,34.60846640338155,107.44578103353078,99.90858059073204,241.96282802764438,29.41072542738641,79.82881239969993
26,12843.859605449306,753.9045680924443,154.51170268068725,35.164382734618265,109.25722953900004,101.64699875246299,246.0686110260813,29.428428241875622,80.11345591838085
27,13050.962021530671,761.0781510454282,156.0311368798991,35.70853997415328,111.02167382708242,103.32931792972306,250.05953173095878,29.4455191915182,80.43233464371087
28,13246.582032280436,767.9889425813035,157.50082087111193,36.24283043366657,112.74514754090163,104.96148234444236,253.94946031901054,29.461993202988765,80.78535458920351
29,13431.466316643648,774.6660781060306,158.92818546202554,36.769148241206906,114.43374657944582,106.54954680660772,257.75244162726045,29.477845398399722,81.17241093156827
30,13606.39570029923,781.1379986034492,160.3204545709728,37.2893794545414,116.09358844166066,108.09963123790405,261.48259913410607,29.493071090541775,81.59338842110901
31,13772.17736766091,787.4323543169446,161.68462834750497,37.80539467000538,117.73078186207213,109.61788502638144,265.154061558459,29.507665761018075,82.04816268041168
32,13929.636973355467,793.5760264632632,163.0274679492036,38.31904147364686,119.35139764856036,111.11045231656097,268.7808914387682,29.521625078655347,82.53659930282174
33,14079.610724586162,799.5950293672283,164.35548642025233,38.83213810644586,120.96144100622246,112.5834394934663,272.3770186061346,29.534944908402622,83.05855347578517
34,14222.938784581205,805.5145782940527,165.6749416178278,39.3464681034277,122.56683033312932,114.0428889052266,275.9561873417836,29.547621306267388,83.61387037017948
35,14360.459599157077,811.358625561468,166.99183319141412,39.86377622775327,124.17337957109139,115.4947577731848,279.53191357202945,29.55965051731573,84.2023853593746
36,14493.004903373061,817.1511531053014,168.31189882377177,40.385765140883734,125.78678404256232,116.94490053488772,283.1174497183338,29.571028976909247,84.82392406065628
37,14621.394878881763,822.91402556294,169.64062329667377,40.91409300544044,127.41260826697217,118.39905387677753,286.72575514919015,29.5817533129009,85.478302324183
38,14746.434882625716,828.668338708278,170.98322814475,41.45037109638646,129.0562772553442,119.86282577349421,290.3694741252249,29.591820347239263,86.16532625446416
39,14868.912471843687,834.4349691238783,172.3446755073296,41.996161757325254,130.72306882513024,121.34168679881873,294.06091738127424,29.601227096886532,86.88479226910295
40,14989.59399750158,840.2333218535553,173.72968185842623,42.55297798437436,132.4181072852661,122.84096262766126,297.81204789730174,29.609970774508156,87.6364871699875
41,15109.22324111344,846.0817511982701,175.1427146686511,43.12228266450443,134.14636073745086,124.3658300271244,301.6344734290797,29.618048789197474,88.420188211825
42,15228.519267689242,851.997618856667,176.58799942088234,43.70548715369088,135.91263766871398,125.92131387531043,305.5394386977153,29.625458747255834,89.23566316756978
43,15348.175502021246,857.9975927088348,178.06952270365872,44.303951944696124,137.7215850325549,127.51228552739116,309.5378225046422,29.632198452937246,90.08267039524299
44,15468.858800150398,864.096740604429,179.59104020595754,44.91898528969804,139.57768798322329,129.14346250262133,313.64013577554266,29.63826590911549,90.96095890862216
45,15591.20887858098,870.3100455964977,181.1560789246976,45.55184380366998,141.48526833515172,130.81940899610316,317.85652113492483,29.64365931787529,91.8702684517616
46,15715.83827817374,876.6513689044147,182.7679484062327,46.203732407257924,143.44848497655082,132.54453687945127,322.19675426326,29.64837708103505,92.81032957646676
47,15843.332356150186,883.1328690593581,184.42974414807313,46.87580426409879,145.47133442937022,134.32310728545744,326.67024597892646,29.652417800620697,93.78086372229018
48,15974.249471887757,889.7665828723865,186.1443468976622,47.56916017037823,147.55765093402528,136.15923257932315,331.2860436837267,29.65578027928018,94.78158329903863
49,16109.121377921432,896.5633426549657,187.91443359940425,48.28484835717918,149.7111061150676,138.0568783279433,336.0528328001901,29.65846352063727,95.8121917719327
50,16248.4537662165,903.5331436240864,189.7424807600666,49.023864387197385,151.9352086965934,140.01986509496913,340.9789381787599,29.66046672958987,96.87238374944582
51,16392.726915636234,910.6850532620749,191.63076885247892,49.787150690606005,154.23330421821743,142.0518700684848,346.0723249773082,29.66178931254376,97.96184507381258
52,16542.396407030163,918.027324580134,193.58138563677622,50.57559583498999,156.60857432489863,144.15642850035167,351.3405986602403,29.66243087758926,99.08025291412105
53,16697.893889952917,925.5673298660481,195.59623004993884,51.39003368899411,159.06403540291936,146.33693481252428,356.79100390443773,29.662391234616962,100.2272758619938
54,16859.627884616482,933.3116355132275,197.67701525463607,52.23124249160698,161.6025366385513,148.5966432096145,362.4304223397728,29.661670395373903,101.40257402977659
55,17027.98459802357,941.2659508445261,199.8252716847054,53.099943723307945,164.2267575820404,150.93866772167482,368.26536902702316,29.660268573459916,102.60579915125618
56,17203.328734752453,949.4352120691483,202.04234920269883,53.99680076066303,166.939205167678,153.36598166388256,374.3019875922236,29.658186184265332,103.83659468486167
57,17386.004288411485,957.8235168262546,204.32941935295247,54.92241733437133,169.74221009892844,155.88141649409968,380.5460439273994,29.65542384484729,105.0945959193159
58,17576.335303675714,966.4342317471122,206.68747675689517,55.87733582449445,172.63792257682897,158.48766002633997,387.0029184276634,29.651982373746478,106.37943008170168
59,17774.62659993283,975.2698811739339,209.11734077689644,56.86203537696722,175.62830739623698,161.1872539622053,393.67759673540945,29.647862790744284,107.69071644792712
60,17981.164448223797,984.332324804873,211.61965612734318,57.87692985532218,178.71513843985434,163.9825907268538,400.57465902203035,29.643066316563363,109.02806645554392
61,18196.217194804187,993.6225330465898,214.19489412385803,58.922365619179914,181.89999257793295,166.87590961344867,407.69826781056156,29.637594372501326,110.39108381887854
62,18420.035826776282,1003.140948284978,216.8433524539538,59.99861917583892,185.18424299993742,169.86929224613036,415.0521544219067,29.631448580014194,111.77936464647519
63,18652.854476892266,1012.886952415498,219.56515636898692,61.105894683016594,188.56905200390773,172.9646573727891,422.6396040597134,29.62463076023232,113.19249756076078
64,18894.89086188888,1022.8599107444747,222.36025810282192,62.2443214247473,192.05536334232463,176.16375501298086,430.4634397800528,29.61714293342311,114.63006381995183
65,19146.346663192056,1033.0570559319303,225.22843774245268,63.41395107796345,195.64389412095957,179.46815999342888,438.52600519235193,29.608987318391655,116.09163744214675
66,19407.407868025486,1043.4766606623116,228.16929663822373,64.61475471522641,199.33512610673452,182.8792648694808,446.8291456914418,29.600166331821583,117.57678533153103
67,19678.244984382392,1054.1152862706128,231.1822689958865,65.84662026602302,203.1292967993507,186.39827224160032,455.374189306974,29.590682587562696,119.08506740673965
68,19959.013234722883,1064.9689462136575,234.26661436774384,67.10934999630427,207.02639064439168,190.0261866265102,464.1619272672062,29.580538895852442,120.61603673123682
69,20249.852695603033,1076.033105598029,237.42141635322622,68.40265737854446,211.02612998687664,193.7638059751214,473.1925933405425,29.56973826248577,122.1692396457729
70,20550.88838204668,1087.302522488491,240.6455834512734,69.72616414575155,215.1279655469771,197.61171278999905,482.4658424827277,29.558283887923608,123.74421590280508
71,20862.230274553982,1098.7713387423437,243.93784963910736,71.07939774629003,219.33106684601825,201.57026481425427,491.98072940656255,29.546179166344245,125.34049880287512
72,21183.973291243914,1110.4330144300175,247.29677404633236,72.46178886422956,223.6343129775712,205.63958540989518,501.73568725169594,29.533427684637445,126.95761533290897
73,21516.197212475403,1122.2804245255543,250.7207406211983,73.87266889630656,228.03628368134352,209.8195537968739,511.728506374524,29.520033221343965,128.59508630638084
74,21858.96656656779,1134.3057877060785,254.20795795849637,75.31126754863723,232.53525057141755,214.10979523938903,521.9563133594438,29.505999745530517,130.2524265052998
75,22212.330481852572,1146.5007755585048,257.75645994869933,76.77671070759615,237.12916861575272,218.50967119515946,532.4155505185083,29.491331415619243,131.92914482399829
76,22576.32250667842,1158.8563985436915,261.36410599872386,78.26801855133668,241.8156680927283,223.01826947052913,543.1019561145941,29.476032578153536,133.6247444146511
77,22950.960399215826,1171.3631891624136,265.02858241345274,79.78410390102637,246.5920471808925,227.63439448594,554.0105455678588,29.460107766508827,135.33872283450455
78,23336.24589159951,1184.0109738011784,268.7474024054735,81.32377079930684,251.45526521513847,232.35655776799592,565.1355937824412,29.443561699551083,137.07057219476246
79,23732.164434490867,1196.7892546982514,272.5179091386009,82.88571345250645,256.4019366891356,237.182968761005,576.4706189026471,29.426399280235728,138.81977931108395
80,24138.684927242277,1209.6866445770086,276.33727444511516,84.46851543987157,261.42832607098677,242.11152602864908,588.0083675395074,29.408625594159275,140.5858258556491
81,24555.75944102555,1222.6920516972937,280.2025102111823,86.07064967746717,266.53034380287386,247.1398089579445,599.7408024382855,29.39024590804729,142.3681885107526
82,24983.32293352438,1235.792120247414,284.11044986882064,87.69047798232205,271.7035431527842,252.26507006591422,611.6590912010205,29.371265668199158,144.1663391238735
83,25421.29293961184,1248.9751789258203,288.0577643907132,89.3262505097672,276.94311724256613,257.48422784684277,623.7535955991762,29.3516904988669,145.9797448641757
84,25869.569294965913,1262.2280455269731,292.04098012316837,90.97610823019208,282.2438980862702,262.7938600739485,636.0138663904108,29.33152620059809,147.8078683804033
85,26328.03385734331,1275.5370894426003,296.05646966364844,92.63808588186623,287.6003591389451,268.19019837590855,648.42864339672,29.31077874850871,149.65016796010423
86,26796.550213592996,1288.8880043066938,300.100442834255,94.31011075007238,293.00661766972974,273.66912431472264,660.9858527345248,29.28945429051646,151.50609769015682
87,27274.963433394816,1302.2667187764528,304.1689591603023,95.99000462348569,298.4564362720421,279.2261661063307,673.6726070018585,29.267559145518135,153.37510761852172
88,27763.099864902826,1315.658438621532,308.2579400997875,97.67548794144919,303.94322653859643,284.8564956416708,686.4752101217164,29.24509980151879,155.25664391722057
89,28260.766887857062,1329.0480706955796,312.36317236729394,99.36418378926263,309.4600562838453,290.5549266953167,699.3791667684246,29.222082913705435,157.15014904644704
90,28767.752675433076,1342.420199719134,316.48031064082653,101.053621251048,314.99965877301406,296.31591492612836,712.3691949501904,29.198515302469787,159.05506191996756
91,29283.826019997272,1355.7591264595465,320.60488274280345,102.74123898382531,320.55444180528264,302.13355940456734,725.4292401936752,29.17440394020514,160.97081830048592
92,29808.736176051352,1369.0488718913634,324.7322972325455,104.42439057977604,326.1164990464913,308.00160541442375,738.5424950406912,29.14975597067769,162.89685052280947
93,30342.212706736776,1382.2732255414821,328.8578518543182,106.10035106062976,331.6776242808867,313.9134484135409,751.6914237550573,29.12457871975039,164.83258739940538
94,30883.96550775008,1395.4157414802355,332.9767395016424,107.76632136163074,337.22932571852056,319.86214053334646,764.8577876134977,29.098879657450198,166.77745513706395
95,31433.6847991343,1408.4598019949242,337.08405531823644,109.41943445540072,342.76284106310055,325.8403974767259,778.0226729952271,29.072666385025514,168.73087772651706
